LAST SEEN   TYPE      REASON              OBJECT                             MESSAGE
37m         Normal    Started             pod/ledger-api-69f7c494f6-4l9gb    Container started
37m         Normal    SuccessfulDelete    replicaset/ledger-api-544d556d9b   Deleted pod: ledger-api-544d556d9b-znsxd
37m         Normal    Pulled              pod/ledger-api-69f7c494f6-4l9gb    Container image "ghcr.io/prem068/ledger-api:starter" already present on machine and can be accessed by the pod
37m         Normal    Created             pod/ledger-api-69f7c494f6-4l9gb    Container created
37m         Normal    ScalingReplicaSet   deployment/ledger-api              Scaled down replica set ledger-api-544d556d9b from 2 to 1
37m         Normal    ScalingReplicaSet   deployment/ledger-api              Scaled up replica set ledger-api-69f7c494f6 from 1 to 2
37m         Normal    SuccessfulCreate    replicaset/ledger-api-69f7c494f6   Created pod: ledger-api-69f7c494f6-4l9gb
37m         Normal    ScalingReplicaSet   deployment/ledger-api              Scaled up replica set ledger-api-69f7c494f6 from 2 to 3
37m         Normal    ScalingReplicaSet   deployment/ledger-api              Scaled down replica set ledger-api-544d556d9b from 1 to 0
37m         Normal    SuccessfulDelete    replicaset/ledger-api-544d556d9b   Deleted pod: ledger-api-544d556d9b-g2f58
37m         Normal    SuccessfulCreate    replicaset/ledger-api-69f7c494f6   Created pod: ledger-api-69f7c494f6-q9kmk
37m         Normal    Pulled              pod/ledger-api-69f7c494f6-q9kmk    Container image "ghcr.io/prem068/ledger-api:starter" already present on machine and can be accessed by the pod
37m         Normal    Created             pod/ledger-api-69f7c494f6-q9kmk    Container created
37m         Normal    Started             pod/ledger-api-69f7c494f6-q9kmk    Container started
37m         Normal    ScalingReplicaSet   deployment/ledger-api              Scaled down replica set ledger-api-86d7b586fb from 1 to 0
37m         Normal    SuccessfulDelete    replicaset/ledger-api-86d7b586fb   Deleted pod: ledger-api-86d7b586fb-ktjts
37m         Normal    Killing             pod/ledger-api-86d7b586fb-ktjts    Stopping container ledger-api
32m         Normal    Pulled              pod/curl-test                      Container image "curlimages/curl:8.8.0" already present on machine and can be accessed by the pod
32m         Normal    Created             pod/curl-test                      Container created
32m         Normal    Started             pod/curl-test                      Container started
13m         Normal    Sync                ingress/ledger-api-ingress         Scheduled for sync
3m5s        Normal    Killing             pod/reporting-69cf9d7bd-p4rsn      Stopping container client
3m5s        Warning   FailedCreate        replicaset/reporting-69cf9d7bd     Error creating: pods "reporting-69cf9d7bd-6r25m" is forbidden: violates PodSecurity "restricted:latest": allowPrivilegeEscalation != false (container "client" must set securityContext.allowPrivilegeEscalation=false), unrestricted capabilities (container "client" must set securityContext.capabilities.drop=["ALL"]), runAsNonRoot != true (pod or container "client" must set securityContext.runAsNonRoot=true), seccompProfile (pod or container "client" must set securityContext.seccompProfile.type to "RuntimeDefault" or "Localhost")
3m5s        Warning   FailedCreate        replicaset/reporting-69cf9d7bd     Error creating: pods "reporting-69cf9d7bd-j6jxr" is forbidden: violates PodSecurity "restricted:latest": allowPrivilegeEscalation != false (container "client" must set securityContext.allowPrivilegeEscalation=false), unrestricted capabilities (container "client" must set securityContext.capabilities.drop=["ALL"]), runAsNonRoot != true (pod or container "client" must set securityContext.runAsNonRoot=true), seccompProfile (pod or container "client" must set securityContext.seccompProfile.type to "RuntimeDefault" or "Localhost")
3m5s        Warning   FailedCreate        replicaset/reporting-69cf9d7bd     Error creating: pods "reporting-69cf9d7bd-q52x7" is forbidden: violates PodSecurity "restricted:latest": allowPrivilegeEscalation != false (container "client" must set securityContext.allowPrivilegeEscalation=false), unrestricted capabilities (container "client" must set securityContext.capabilities.drop=["ALL"]), runAsNonRoot != true (pod or container "client" must set securityContext.runAsNonRoot=true), seccompProfile (pod or container "client" must set securityContext.seccompProfile.type to "RuntimeDefault" or "Localhost")
3m5s        Warning   FailedCreate        replicaset/reporting-69cf9d7bd     Error creating: pods "reporting-69cf9d7bd-rfpgb" is forbidden: violates PodSecurity "restricted:latest": allowPrivilegeEscalation != false (container "client" must set securityContext.allowPrivilegeEscalation=false), unrestricted capabilities (container "client" must set securityContext.capabilities.drop=["ALL"]), runAsNonRoot != true (pod or container "client" must set securityContext.runAsNonRoot=true), seccompProfile (pod or container "client" must set securityContext.seccompProfile.type to "RuntimeDefault" or "Localhost")
3m4s        Warning   FailedCreate        replicaset/reporting-69cf9d7bd     Error creating: pods "reporting-69cf9d7bd-j75d9" is forbidden: violates PodSecurity "restricted:latest": allowPrivilegeEscalation != false (container "client" must set securityContext.allowPrivilegeEscalation=false), unrestricted capabilities (container "client" must set securityContext.capabilities.drop=["ALL"]), runAsNonRoot != true (pod or container "client" must set securityContext.runAsNonRoot=true), seccompProfile (pod or container "client" must set securityContext.seccompProfile.type to "RuntimeDefault" or "Localhost")
3m4s        Warning   FailedCreate        replicaset/reporting-69cf9d7bd     Error creating: pods "reporting-69cf9d7bd-fmlhr" is forbidden: violates PodSecurity "restricted:latest": allowPrivilegeEscalation != false (container "client" must set securityContext.allowPrivilegeEscalation=false), unrestricted capabilities (container "client" must set securityContext.capabilities.drop=["ALL"]), runAsNonRoot != true (pod or container "client" must set securityContext.runAsNonRoot=true), seccompProfile (pod or container "client" must set securityContext.seccompProfile.type to "RuntimeDefault" or "Localhost")
3m4s        Warning   FailedCreate        replicaset/reporting-69cf9d7bd     Error creating: pods "reporting-69cf9d7bd-8d8l5" is forbidden: violates PodSecurity "restricted:latest": allowPrivilegeEscalation != false (container "client" must set securityContext.allowPrivilegeEscalation=false), unrestricted capabilities (container "client" must set securityContext.capabilities.drop=["ALL"]), runAsNonRoot != true (pod or container "client" must set securityContext.runAsNonRoot=true), seccompProfile (pod or container "client" must set securityContext.seccompProfile.type to "RuntimeDefault" or "Localhost")
3m4s        Warning   FailedCreate        replicaset/reporting-69cf9d7bd     Error creating: pods "reporting-69cf9d7bd-xj8j2" is forbidden: violates PodSecurity "restricted:latest": allowPrivilegeEscalation != false (container "client" must set securityContext.allowPrivilegeEscalation=false), unrestricted capabilities (container "client" must set securityContext.capabilities.drop=["ALL"]), runAsNonRoot != true (pod or container "client" must set securityContext.runAsNonRoot=true), seccompProfile (pod or container "client" must set securityContext.seccompProfile.type to "RuntimeDefault" or "Localhost")
3m3s        Warning   FailedCreate        replicaset/reporting-69cf9d7bd     Error creating: pods "reporting-69cf9d7bd-r9jqz" is forbidden: violates PodSecurity "restricted:latest": allowPrivilegeEscalation != false (container "client" must set securityContext.allowPrivilegeEscalation=false), unrestricted capabilities (container "client" must set securityContext.capabilities.drop=["ALL"]), runAsNonRoot != true (pod or container "client" must set securityContext.runAsNonRoot=true), seccompProfile (pod or container "client" must set securityContext.seccompProfile.type to "RuntimeDefault" or "Localhost")
2m24s       Warning   FailedCreate        replicaset/reporting-69cf9d7bd     (combined from similar events): Error creating: pods "reporting-69cf9d7bd-w7hlr" is forbidden: violates PodSecurity "restricted:latest": allowPrivilegeEscalation != false (container "client" must set securityContext.allowPrivilegeEscalation=false), unrestricted capabilities (container "client" must set securityContext.capabilities.drop=["ALL"]), runAsNonRoot != true (pod or container "client" must set securityContext.runAsNonRoot=true), seccompProfile (pod or container "client" must set securityContext.seccompProfile.type to "RuntimeDefault" or "Localhost")
